Instance,Type,Name,ID
NHMIS Instance,NHMIS instance dataelements,0-28 days seen with rapid breathing (Community),HrM92gssa7J
NHMIS Instance,NHMIS instance dataelements,0-28 days seen with rapid breathing referred for further management(Community),PlvMox4Dm3M
NHMIS Instance,NHMIS instance dataelements,0-28 days who received Chlorhexidine for cord care(Community),KY5FfQM8Nzx
NHMIS Instance,NHMIS instance dataelements,028. Penta Vaccine - Received,KrI2GAlgMsI
NHMIS Instance,NHMIS instance dataelements,029. Penta Vaccine - Doses Opened,P6zdm7C653N
NHMIS Instance,NHMIS instance dataelements,030. Penta Vaccine - Returned,S91EeHrjNZe
NHMIS Instance,NHMIS instance dataelements,031. PCV - Maximum Stock,Vf9bB7YPkO4
NHMIS Instance,NHMIS instance dataelements,032. PCV - Minimum Stock,UQaEu0ckWBn
NHMIS Instance,NHMIS instance dataelements,033. PCV - Opening Balance,UB6sPyFhpbN
NHMIS Instance,NHMIS instance dataelements,034. PCV - Received,cDplNE9NF7U
NHMIS Instance,NHMIS instance dataelements,035. PCV - Doses Opened,zWU7OOnbUzV
NHMIS Instance,NHMIS instance dataelements,036. PCV - Returned,xad0Xac3RX2
NHMIS Instance,NHMIS instance dataelements,037. IPV - Maximum Stock,kZScLOEtGhd
NHMIS Instance,NHMIS instance dataelements,038. IPV - Minimum Stock,ayBSoJKuOyN
NHMIS Instance,NHMIS instance dataelements,039. IPV - Opening Balance,hFvBacub64w
NHMIS Instance,NHMIS instance dataelements,040. IPV - Received,qhzLuZuTaRU
NHMIS Instance,NHMIS instance dataelements,041. IPV - Doses Opened,l0ao7HSLbu8
NHMIS Instance,NHMIS instance dataelements,042. IPV - Returned,uOLKq00gf7T
NHMIS Instance,NHMIS instance dataelements,043. Rotavirus Vaccine - Maximum Stock,orZrwfX7ltz
NHMIS Instance,NHMIS instance dataelements,044. Rotavirus Vaccine - Minimum Stock,JQqAin46sue
NHMIS Instance,NHMIS instance dataelements,045. Rotavirus Vaccine - Opening balance,dcIMV4l6Wnd
NHMIS Instance,NHMIS instance dataelements,046. Rotavirus Vaccine - Received,hynBx1gMq5I
NHMIS Instance,NHMIS instance dataelements,047. Rotavirus Vaccine - Doses Opened,A8e7JsRZQo2
NHMIS Instance,NHMIS instance dataelements,048. Rotavirus Vaccine - Returned,e0yrnW4lW6j
NHMIS Instance,NHMIS instance dataelements,049. Measles Vaccine - Maximum Stock,DPmF4OjwiAJ
NHMIS Instance,NHMIS instance dataelements,050. Measles Vaccine - Minimum Stock,cEFAeYHlWqH
NHMIS Instance,NHMIS instance dataelements,051. Measles Vaccine - Opening Balance,vtHJVTAguch
NHMIS Instance,NHMIS instance dataelements,052. Measles Vaccine - Received,XklyJxzoyxR
NHMIS Instance,NHMIS instance dataelements,053. Measles Vaccine - Doses Opened,hg1D2tXg3aB
NHMIS Instance,NHMIS instance dataelements,054. Measles Vaccine - Returned,fprTvby0Jy8
NHMIS Instance,NHMIS instance dataelements,055. Measles Diluent - Maximum Stock,RnqdRdHTfgP
NHMIS Instance,NHMIS instance dataelements,056. Measles Diluent - Minimum Stock,cjZKsDpQoBE
NHMIS Instance,NHMIS instance dataelements,057. Measles Diluent - Opening Balance,dwO2gkyDysn
NHMIS Instance,NHMIS instance dataelements,058. Measles Diluent - Received,Ezwwrgc4I3c
NHMIS Instance,NHMIS instance dataelements,059. Measles Diluent - Doses Opened,npoJm7ymjoL
NHMIS Instance,NHMIS instance dataelements,060. Measles Diluent - Returned,tVjX0j3530l
NHMIS Instance,NHMIS instance dataelements,061. Yellow Fever Vaccine - Maximum Stock,Ui5a6l9yLIC
NHMIS Instance,NHMIS instance dataelements,062. Yellow Fever Vaccine - Minimum Stock,kXKy1ozajRe
NHMIS Instance,NHMIS instance dataelements,063. Yellow Fever Vaccine - Opening Balance,iKUmaZuN5l0
NHMIS Instance,NHMIS instance dataelements,064. Yellow Fever Vaccine - Received,GkFMGCF5p4n
NHMIS Instance,NHMIS instance dataelements,065. Yellow Fever Vaccine - Doses Opened,OiNgd1uT2Mp
NHMIS Instance,NHMIS instance dataelements,066. Yellow Fever Vaccine - Returned,JCT4xCM2ux8
NHMIS Instance,NHMIS instance dataelements,067. Yellow Fever - Diluents Maximum Stock,qqJaYQ8YJm5
NHMIS Instance,NHMIS instance dataelements,068. Yellow Fever Diluent - Minimum Stock,lE8L2atdLgk
NHMIS Instance,NHMIS instance dataelements,069. Yellow Fever Diluent - Opening Balance,IY5mDxgiBLq
NHMIS Instance,NHMIS instance dataelements,0-6 months not exclusivelly breastfed(Community),oeW6UaHB0IX
NHMIS Instance,NHMIS instance dataelements,070. Yellow Fever Diluent - Received,bqqz6ODs9fi
NHMIS Instance,NHMIS instance dataelements,071. Yellow Fever Diluents - Doses Opened,tFStfOjUqOP
NHMIS Instance,NHMIS instance dataelements,072. Yellow Fever Diluent - Returned,WwzHBSyvzUq
NHMIS Instance,NHMIS instance dataelements,079. CSM Diluents - Maximum Stock,MtbEd2Gtg9J
NHMIS Instance,NHMIS instance dataelements,080. CSM Diluent - Minimum Stock,g0ntxChk2ck
NHMIS Instance,NHMIS instance dataelements,081. CSM Diluents - Opening balance,Lk6x2pckPX8
NHMIS Instance,NHMIS instance dataelements,082. CSM Diluents Received (doses),HwXDVltpZbS
NHMIS Instance,NHMIS instance dataelements,083. CSM Diluent - Doses Opened,dDuPNIDw30H
NHMIS Instance,NHMIS instance dataelements,084. CSM Diluent - Returned,mH4tVVMUQXN
NHMIS Instance,NHMIS instance dataelements,085. Tetanus Toxoid - Maximum Stock,ijlZoGhFQtc
NHMIS Instance,NHMIS instance dataelements,086. Tetanus Toxoid - Minimum Stock,ybhQP9rg6ed
NHMIS Instance,NHMIS instance dataelements,087. Tetanus Toxoid - Opening Balance,vhYAntW3knU
NHMIS Instance,NHMIS instance dataelements,088. Tetanus Toxoid - Received,hnUjIjplVXd
NHMIS Instance,NHMIS instance dataelements,089. Tetanus Toxoid - Doses Opened,NafXGCjQZsi
NHMIS Instance,NHMIS instance dataelements,090. Tetanus Toxoid - Returned,S0ZWSIuKyF7
NHMIS Instance,NHMIS instance dataelements,091. BCG Dose Discarded,V69xx8ED8yx
NHMIS Instance,NHMIS instance dataelements,092. BCG Diluent Discarded,tPne0Es8lG1
NHMIS Instance,NHMIS instance dataelements,093. HBV Dose Discarded,RKXZNrgYFR1
NHMIS Instance,NHMIS instance dataelements,094. OPV Dose Discarded,lwQRLCE7wKQ
NHMIS Instance,NHMIS instance dataelements,095. Penta Dose Discarded,mKhTeChNvxC
NHMIS Instance,NHMIS instance dataelements,096. PCV Dose Discarded,gQXBZBOhthx
NHMIS Instance,NHMIS instance dataelements,097. IPV Dose Discarded,niZuvdjSVCJ
NHMIS Instance,NHMIS instance dataelements,098. Rotavirus Dose Discarded,AIN6DQwINRi
NHMIS Instance,NHMIS instance dataelements,099. Measles Dose Discarded,K0GuJtrpHNf
NHMIS Instance,NHMIS instance dataelements,100.Measles Diluent Discarded,kBAxtsU5BXp
NHMIS Instance,NHMIS instance dataelements,101. Yellow Fever Dose Discarded,Jfr2ZAJP8Wn
NHMIS Instance,NHMIS instance dataelements,102. Yellow Fever Diluent Discarded,Uf2XrKgd842
NHMIS Instance,NHMIS instance dataelements,103. CSM Dose Discarded,AOI7F7wQrC0
NHMIS Instance,NHMIS instance dataelements,104. CSM Diluent Discarded,PEBgPKMBMQS
NHMIS Instance,NHMIS instance dataelements,105. Tetanus Toxoid Dose Discarded,gGHcQTvKQhf
NHMIS Instance,NHMIS instance dataelements,10. Lassa Fever(Viral hemorrhagic fever)(IDSR),jX23FTwpNxt
NHMIS Instance,NHMIS instance dataelements,11. Leprosy(IDSR),z2OA5F7n02Z
NHMIS Instance,NHMIS instance dataelements,12. Lymphatic Filariasis(IDSR),qMpZBGkDiRc
NHMIS Instance,NHMIS instance dataelements,13a. Malaria (IDSR),tCN1Il8KWu7
NHMIS Instance,NHMIS instance dataelements,13b) Malaria (severe) (IDSR),z2YQpgALH59
NHMIS Instance,NHMIS instance dataelements,13c. Malaria(Pregnant women)(IDSR),prZ6QZQXrRW
NHMIS Instance,NHMIS instance dataelements,14. Measles (IDSR),LDJQ2mSY8cI
NHMIS Instance,NHMIS instance dataelements,15. Neonatal Tetanus (IDSR),n5xXC0OSF5g
NHMIS Instance,NHMIS instance dataelements,16. New HIV/ AIDS cases(IDSR),W2hOebxXVug
NHMIS Instance,NHMIS instance dataelements,17. Onchocerciasis(IDSR),zYSy2DTLMZ5
NHMIS Instance,NHMIS instance dataelements,18. Pertussis(IDSR),T8BCxbF0bfF
NHMIS Instance,NHMIS instance dataelements,19. Pneumonia = 5yrs (IDSR),fNFIdyVfMVu
NHMIS Instance,NHMIS instance dataelements,1. Buruli Ulcer(IDSR),kVv6ZfFrHG1
NHMIS Instance,NHMIS instance dataelements,20a. Acute Flaccid Paralysis (IDSR),k9SUVqFWXvO
NHMIS Instance,NHMIS instance dataelements,20b. Confirmed Poliomyelitis(IDSR),Qg1Ix8NzKKg
NHMIS Instance,NHMIS instance dataelements,21. Rabies Human(IDSR),UciyBQtYDHK
NHMIS Instance,NHMIS instance dataelements,22. Severe Acute Respiratory Illness(IDSR),sDqIdbTs5Np
NHMIS Instance,NHMIS instance dataelements,23. Schistosomiasis(IDSR),n4kd1Dv2ErF
NHMIS Instance,NHMIS instance dataelements,24a. Vaginal Discharge(IDSR),rmh5sjmjCfo
NHMIS Instance,NHMIS instance dataelements,24b) Genital Ulcer (IDSR),Axc6V4n2q4h
NHMIS Instance,NHMIS instance dataelements,24c) Urethral discharge (IDSR),UdIwZ8OROOs
NHMIS Instance,NHMIS instance dataelements,24d) Others STIs (IDSR),qRxa0w6YyOb
NHMIS Instance,NHMIS instance dataelements,25. Trachoma (IDSR),cqd3N73OaWP
NHMIS Instance,NHMIS instance dataelements,26. Tuberculosis (IDSR),o4GVh1C4MJz
NHMIS Instance,NHMIS instance dataelements,27. Typhoid (IDSR),joQiA6zqNk5
NHMIS Instance,NHMIS instance dataelements,28. Yellow Fever(IDSR),RhzLejBuHnt
NHMIS Instance,NHMIS instance dataelements,29. Adverse Events following immunization (IDSR),ZJ3KENkHShM
NHMIS Instance,NHMIS instance dataelements,2. Cerebro spinal meningitis(IDSR),bRxFIypiHJE
NHMIS Instance,NHMIS instance dataelements,2mls Syringes - Used,qnR0p6KnApT
NHMIS Instance,NHMIS instance dataelements,2ml Syringes - Opening balance,txSjrH8Xjyq
NHMIS Instance,NHMIS instance dataelements,2ml Syringes - Received,dLvDnZ7WmZp
NHMIS Instance,NHMIS instance dataelements,2ml Syringes - Returned,GHgDOFVqtyN
NHMIS Instance,NHMIS instance dataelements,30. Asthma(IDSR),UgQOXRMvy3q
NHMIS Instance,NHMIS instance dataelements,31. Diabetes Mellitus (IDSR),dC4yVvxasUd
NHMIS Instance,NHMIS instance dataelements,32. Hypertension (IDSR),pxjufo8fok2
NHMIS Instance,NHMIS instance dataelements,33. Injuries (Road Traffic Accident) (IDSR),lvPcCfKz9EI
NHMIS Instance,NHMIS instance dataelements,34. Malnutrition (IDSR),FIibpb7WVsl
NHMIS Instance,NHMIS instance dataelements,35. Maternal Deaths (IDSR),Yk4czEjUYJu
NHMIS Instance,NHMIS instance dataelements,"36. MNS Disorder (Epilepsy, Schizorphernia depression etc)(IDSR)",ToHUyT6nXt2
NHMIS Instance,NHMIS instance dataelements,37. Noma(IDSR),pxuyNHgXWNV
NHMIS Instance,NHMIS instance dataelements,38. Perinatal Deaths (IDSR),XPKUa38btnU
NHMIS Instance,NHMIS instance dataelements,39. Sickle Cell Disorder (IDSR),vV8vc3qjfVd
NHMIS Instance,NHMIS instance dataelements,3. Cholera(IDSR),ZnyUb92Xbp4
NHMIS Instance,NHMIS instance dataelements,40. Snake Bite (IDSR),QpemKkM5uTD
NHMIS Instance,NHMIS instance dataelements,41 Soil Transmitted Helminths (IDSR),rIgkObsL5b4
NHMIS Instance,NHMIS instance dataelements,4. Diarrhoea with dehydration = 5yrs (IDSR),jb0yy3YGHfn
NHMIS Instance,NHMIS instance dataelements,5. Diarrhoea (with blood)(IDSR),vpVPF8g75kM
NHMIS Instance,NHMIS instance dataelements,5mls Syringe,R9hBS5c3kwt
NHMIS Instance,NHMIS instance dataelements,5mls Syringes - Returned,QYzD32Qlauz
NHMIS Instance,NHMIS instance dataelements,5mls Syringe Used,v1tFiI126k0
NHMIS Instance,NHMIS instance dataelements,5ml Syringes - Opening Balance,SjopG5FuQXP
NHMIS Instance,NHMIS instance dataelements,5ml Syringes - Received,AV65i3H8pkF
NHMIS Instance,NHMIS instance dataelements,5ml Syringes - Used,rN4PAC3qMUF
NHMIS Instance,NHMIS instance dataelements,<5 years discharged healthy after Nutritional Treatment,jAH0lQvOCDu
NHMIS Instance,NHMIS instance dataelements,<5 years placed on treatment for severe acute malnutrition,QhfkAnlyp3e
NHMIS Instance,NHMIS instance dataelements,6-59 months given Vitamin A supplement(Community),GzzM0neKx9p
NHMIS Instance,NHMIS instance dataelements,6-59 months whose mid upper arm circumference (MUAC) was measured(Community),uHZlUNBBVmI
NHMIS Instance,NHMIS instance dataelements,6-59 months with red MUAC(Community),rYLhAai4BCe
NHMIS Instance,NHMIS instance dataelements,6-59 months with red MUAC referred to Outpatient Therapeutic Programme (OTP) site(Community),hHtysRRFSsV
NHMIS Instance,NHMIS instance dataelements,6. Diphtheria (IDSR),CPyQjw6GIYY
NHMIS Instance,NHMIS instance dataelements,7. Dracunculiasis (Guinea Worm Disease) (IDSR),P4x2KlftLJN
NHMIS Instance,NHMIS instance dataelements,8a. Hepatitis A (IDSR),lvfrkfzbUjS
NHMIS Instance,NHMIS instance dataelements,8b. Hepatitis B (IDSR),cggVQx1lDL5
NHMIS Instance,NHMIS instance dataelements,8c. Hepatitis C (IDSR),Lx5n5qeiKO4
NHMIS Instance,NHMIS instance dataelements,9. Human African Trypanosomiasis (HAT)(IDSR),hitrarqqlN1
NHMIS Instance,NHMIS instance dataelements,Abortions,MAJ0MDlSJTu
NHMIS Instance,NHMIS instance dataelements,Abortions - Induced,JiwAC9rSQBE
NHMIS Instance,NHMIS instance dataelements,Accident cases(Community),neCDJmFvVn5
NHMIS Instance,NHMIS instance dataelements,ACTs Stock out(Community),wCNPn0AtSs9
NHMIS Instance,NHMIS instance dataelements,ACTs Stock out for 7 consecutive days(Community),B1bVft0wxin
NHMIS Instance,NHMIS instance dataelements,Adequate RI Operational Fund Received,DhkIAuHVbaa
NHMIS Instance,NHMIS instance dataelements,Admissions 0-4 years - female,m4b3iu6YLrx
NHMIS Instance,NHMIS instance dataelements,Admissions 0-4 years - male,TPas7fUU16Z
NHMIS Instance,NHMIS instance dataelements,Admissions 15 years and older - female,oKGeZqdoX5L
NHMIS Instance,NHMIS instance dataelements,Admissions 15 years and older - male,grq0wRJcNTt
NHMIS Instance,NHMIS instance dataelements,Admissions 5-14 years - females,eYEMRzhsm7D
NHMIS Instance,NHMIS instance dataelements,Admissions 5-14 years - males,LqEA9I9tQff
NHMIS Instance,NHMIS instance dataelements,ADRs following antimalarials,MquEGy202Y5
NHMIS Instance,NHMIS instance dataelements,ADRs following antiretrovirals,O2B5csFtRQ3
NHMIS Instance,NHMIS instance dataelements,ADRs following Immunization,rKvPRleQ7yo
NHMIS Instance,NHMIS instance dataelements,AD Syringes - Opening Balance,HuddkGsZTtc
NHMIS Instance,NHMIS instance dataelements,AD Syringes - Received,Fa8gU6GCkoe
NHMIS Instance,NHMIS instance dataelements,AD Syringes - Returned,RGHtjjE1Pfh
NHMIS Instance,NHMIS instance dataelements,AD Syringes - Used,TQpfxwxD6jW
NHMIS Instance,NHMIS instance dataelements,Adverse Events following immunization,od7G0NIOowz
NHMIS Instance,NHMIS instance dataelements,AFP,GuEVH3989dF
NHMIS Instance,NHMIS instance dataelements,All staff trained on NHMIS forms,B4JknkRQZSO
NHMIS Instance,NHMIS instance dataelements,Amoxycillin Stock out(Community),YDogiHg5mq0
NHMIS Instance,NHMIS instance dataelements,Amoxycillin Stock out for 7 consecutive days(Community),i7kMeuhDdb0
NHMIS Instance,NHMIS instance dataelements,ANC Anaemia test done,xTS5sF4TloW
NHMIS Instance,NHMIS instance dataelements,ANC Anaemia test positive,MQP6Q5EnrMM
NHMIS Instance,NHMIS instance dataelements,ANC New Attendance,pbk4XfJNoNM
NHMIS Instance,NHMIS instance dataelements,ANC Proteinuria test done,pX6xg3Xxcpp
NHMIS Instance,NHMIS instance dataelements,ANC Proteinuria test positive,kT3KCg9eY4U
NHMIS Instance,NHMIS instance dataelements,ANC Syphilis case treated,yabwwxCcG8Z
NHMIS Instance,NHMIS instance dataelements,ANC syphilis test done,wnde5350XDc
NHMIS Instance,NHMIS instance dataelements,ANC syphilis test positive,NeY2DuuWVIN
NHMIS Instance,NHMIS instance dataelements,ANC women with previously known HIV status (At ANC),e2qpfO0sTti
NHMIS Instance,NHMIS instance dataelements,Antenatal 1st (booking) visit 20 weeks or later,PV88LZCbiSF
NHMIS Instance,NHMIS instance dataelements,Antenatal 1st (booking) visit before 20 weeks,OZH9GfZqZ7q
NHMIS Instance,NHMIS instance dataelements,Antenatal 4th Visit,VSVJb5lWp70
NHMIS Instance,NHMIS instance dataelements,Antenatal Care Service Offered (Quarterly),ieSbllidlAP
NHMIS Instance,NHMIS instance dataelements,Antenatal Care Service provided,rCx02Wl4U4T
NHMIS Instance,NHMIS instance dataelements,Antenatal client with four visits and above,iqu9tU09vEM
NHMIS Instance,NHMIS instance dataelements,Antenatal total attendance,bGcL2xrAMSe
NHMIS Instance,NHMIS instance dataelements,Anthrax(IDSR),Gs7cd87cFhh
NHMIS Instance,NHMIS instance dataelements,Antibiotics Prescribed,WdXVnzXZhjL
NHMIS Instance,NHMIS instance dataelements,Antimalaria Authentication Service,XmWZSB5ggtp
NHMIS Instance,NHMIS instance dataelements,Anti-Retroviral Therapy provided,HoyYnCNPbP7
NHMIS Instance,NHMIS instance dataelements,Antiretroviral therapy provided(Quaterly),wURHCaHS4Ic
NHMIS Instance,NHMIS instance dataelements,Any SIA campaign held ?,Ss5oFZQioWH
NHMIS Instance,NHMIS instance dataelements,ART newly started ART during period - female 15 years and older,VvgE03PJiuX
NHMIS Instance,NHMIS instance dataelements,ART newly started ART during period - female 2-14 years,ZM5GGfjpljY
NHMIS Instance,NHMIS instance dataelements,ART newly started ART during period - female <2 years,lVfRJiFhyse
NHMIS Instance,NHMIS instance dataelements,ART newly started ART during period - male 15 years and older,tM4n8L3UbHx
NHMIS Instance,NHMIS instance dataelements,ART newly started ART during period - male 2-14 years,tMgpbR7z9Il
NHMIS Instance,NHMIS instance dataelements,ART newly started ART during period - male <2 years,wHEKHxVWw9L
NHMIS Instance,NHMIS instance dataelements,ART patients receiving ARV refill,dmkYH38RQbR
NHMIS Instance,NHMIS instance dataelements,ART patients receiving ARV refill - female >15 years,QuORkFuIsiM
NHMIS Instance,NHMIS instance dataelements,ART patients receiving ARV refill - female 2-14 years,HO9qT9GSVca
NHMIS Instance,NHMIS instance dataelements,ART patients receiving ARV refill - female <2 years,CC9fFk9w3iJ
NHMIS Instance,NHMIS instance dataelements,ART patients receiving ARV refill - male >15 years,Z38sZ2c5KbT
NHMIS Instance,NHMIS instance dataelements,ART patients receiving ARV refill - male 2-14 years,k7oS3mDvCXG
NHMIS Instance,NHMIS instance dataelements,ART patients receiving ARV refill - male <2 years,aoTaXhDCYLm
NHMIS Instance,NHMIS instance dataelements,ART pregnant woman newly started on ART during period,Gg1AjSJWgGS
NHMIS Instance,NHMIS instance dataelements,ART pregnant woman receiving ARV refill,uKDtX9TJ9QP
NHMIS Instance,NHMIS instance dataelements,Asthma,Ket7bNJXtup
NHMIS Instance,NHMIS instance dataelements,Attendance 0 - 28 days - female,CzjZY6Gdoif
NHMIS Instance,NHMIS instance dataelements,Attendance 0 - 28 days - male,seFR8lAaoiW
NHMIS Instance,NHMIS instance dataelements,Attendance 12 months - 59 months - female,ktEF9knHQzr
NHMIS Instance,NHMIS instance dataelements,Attendance 12 months - 59 months - male,s5z5okh4aE9
NHMIS Instance,NHMIS instance dataelements,Attendance 15 years and older - female,u8FuHNYmMPA
NHMIS Instance,NHMIS instance dataelements,Attendance 15 years and older - male,i6bxh8w8hbJ
NHMIS Instance,NHMIS instance dataelements,Attendance 29 days - 11 months - female,j30HEsxYK65
NHMIS Instance,NHMIS instance dataelements,Attendance 29 days - 11 months - male,Te2VX5hAHnc
NHMIS Instance,NHMIS instance dataelements,Attendance 5 - 14years - female,HUpgIQkW0gF
NHMIS Instance,NHMIS instance dataelements,Attendance 5 - 14 years - male,yJ0o089gCVI
NHMIS Instance,NHMIS instance dataelements,Auto Disable Syringe,MXbAXb64SxM
NHMIS Instance,NHMIS instance dataelements,Auto Disable Syringe,x6P3LoukVfE
NHMIS Instance,NHMIS instance dataelements,Average number of LGA allocated to State staff,sNoafZzl7Cz
NHMIS Instance,NHMIS instance dataelements,Babies placed in skin to skin/kangaroo position & referred(Community),oFJwvVYZ38k
NHMIS Instance,NHMIS instance dataelements,BCG,UVw96W1kcja
NHMIS Instance,NHMIS instance dataelements,BCG 1st dose under 1 year - female (2010),Mf9yGGw5Hqa
NHMIS Instance,NHMIS instance dataelements,BCG 1st dose under 1 year - male (2010),GR3wd3urEk6
NHMIS Instance,NHMIS instance dataelements,BCG Diluent,QI17plVVDkx
NHMIS Instance,NHMIS instance dataelements,BCG Diluent Used,GGf5LlrhujX
NHMIS Instance,NHMIS instance dataelements,BCG Dose,YytawX7jV7j
NHMIS Instance,NHMIS instance dataelements,BCG Dose Used,evbI97npjVv
NHMIS Instance,NHMIS instance dataelements,BCG Syringe,lM1kjaX5KKG
NHMIS Instance,NHMIS instance dataelements,BCG Syringes - Opening Balance,sEGTQMQwEPQ
NHMIS Instance,NHMIS instance dataelements,BCG Syringes - Received,aJy7fIzdEWy
NHMIS Instance,NHMIS instance dataelements,BCG Syringes - Returned,EGOFA2f6KHM
NHMIS Instance,NHMIS instance dataelements,BCG Syringes - Used,l3GQNcWUO4I
NHMIS Instance,NHMIS instance dataelements,BCG Syringe Used,JFoaRZ1sP0B
NHMIS Instance,NHMIS instance dataelements,Birth Asphyxia,gp3G8n1C4bm
NHMIS Instance,NHMIS instance dataelements,Blinding trachoma cases(Community),dQLBrOgq99c
NHMIS Instance,NHMIS instance dataelements,Blood screening service provided,IDXI5CVHKye
NHMIS Instance,NHMIS instance dataelements,Buruli Ulcer,GzrHAk2HgU4
NHMIS Instance,NHMIS instance dataelements,Buruli Ulcer Death,kvkSpMLBN4n
NHMIS Instance,NHMIS instance dataelements,Buruli Ulcer patients notified,wLe2xtHVmNp
NHMIS Instance,NHMIS instance dataelements,Cadre,ZqiJm2NGEP6
NHMIS Instance,NHMIS instance dataelements,Causes of Maternal Death,hH5OJAHVSaD
NHMIS Instance,NHMIS instance dataelements,Causes of Neonatal Death,zU82h583KJ8
NHMIS Instance,NHMIS instance dataelements,Causes of Under 5 Deaths,mz0LIaWBAz9
NHMIS Instance,NHMIS instance dataelements,Cerebro spinal meningitis Death,uRYcVpnXcw9
NHMIS Instance,NHMIS instance dataelements,Cerebro Spinal Meningitis new Female,oC8fWiEr3BF
NHMIS Instance,NHMIS instance dataelements,Cerebro Spinal Meningitis new Male,GqLw59mtaBS
NHMIS Instance,NHMIS instance dataelements,Certification Status,OIwnk86gteu
NHMIS Instance,NHMIS instance dataelements,Change takes too long to effect e.g.to include and remove items from the NHMIS form,Hff0CZznRti
NHMIS Instance,NHMIS instance dataelements,Child admitted into CMAM program,fED4a6IFr64
NHMIS Instance,NHMIS instance dataelements,Child defaulted from CMAM program,q9A0snOhAig
NHMIS Instance,NHMIS instance dataelements,Children 0-59 months weighed,TCKBTltaIqq
NHMIS Instance,NHMIS instance dataelements,Children 0-59 months weighing below bottomline,XcWlUTGQCv3
NHMIS Instance,NHMIS instance dataelements,Children 0-6 months exclusivelly breastfed,cUm4VZdZlAd
NHMIS Instance,NHMIS instance dataelements,Children 12-59months given deworming medication,IvqdhtepMyZ
NHMIS Instance,NHMIS instance dataelements,Children < 5 years with severe malaria - female,XldfNsMa7Y1
NHMIS Instance,NHMIS instance dataelements,Children < 5 years with severe malaria - male,NOLW9rGsODI
NHMIS Instance,NHMIS instance dataelements,Children < 5 years with uncomplicated malaria - female,GIhpyrrYZDd
NHMIS Instance,NHMIS instance dataelements,Children < 5 years with uncomplicated malaria - male,eTWzqsMhO39
NHMIS Instance,NHMIS instance dataelements,Children < 5 years with uncomplicated malaria receiving ACT- female,uFBRifclbf4
NHMIS Instance,NHMIS instance dataelements,Children < 5 years with uncomplicated malaria receiving ACT- male,AswDouRqjTm
